hour_of_year,pm2.5_2022,pm2.5_2023,pm2.5_2024
7459,23.0,10.0,
7460,12.0,16.0,
7461,5.0,20.0,
7462,3.0,38.0,
7463,2.0,38.0,
7464,,34.0,
7465,,34.0,
7466,2.0,2.0,
7467,2.0,,
7468,14.0,17.0,
7469,4.0,15.0,
7470,5.0,16.0,
7471,4.0,16.0,
7472,11.0,12.0,
7473,15.0,17.0,
7474,11.0,28.0,
7475,14.0,13.0,
7476,16.0,22.0,
7477,17.0,28.0,
7478,20.0,29.0,
7479,19.0,36.0,
7480,24.0,36.0,
7481,22.0,35.0,
7482,14.0,59.0,
7483,13.0,32.0,
7484,13.0,27.0,
7485,6.0,35.0,
7486,7.0,31.0,
7487,3.0,21.0,
7488,10.0,21.0,
7489,2.0,16.0,
7490,4.0,4.0,
7491,3.0,2.0,
7492,5.0,11.0,
7493,2.0,8.0,
7494,7.0,11.0,
7495,9.0,14.0,
7496,8.0,10.0,
7497,12.0,16.0,
7498,13.0,20.0,
7499,14.0,15.0,
7500,18.0,17.0,
7501,21.0,19.0,
7502,20.0,24.0,
7503,28.0,16.0,
7504,28.0,12.0,
7505,27.0,18.0,
7506,24.0,13.0,
7507,18.0,24.0,
7508,24.0,18.0,
7509,29.0,13.0,
7510,15.0,26.0,
7511,5.0,20.0,
7512,5.0,22.0,
7513,8.0,26.0,
7514,,,
7515,,5.0,
7516,,10.0,
7517,3.0,16.0,
7518,3.0,6.0,
7519,6.0,2.0,
7520,9.0,,
7521,9.0,,
7522,15.0,,
7523,16.0,,
7524,21.0,,
7525,24.0,5.0,
7526,29.0,8.0,
7527,38.0,8.0,
7528,36.0,5.0,
7529,34.0,9.0,
7530,31.0,10.0,
7531,41.0,10.0,
7532,15.0,,
7533,8.0,11.0,
7534,11.0,9.0,
7535,19.0,3.0,
7536,27.0,4.0,
7537,18.0,8.0,
7538,19.0,5.0,
7539,10.0,,
7540,8.0,2.0,
7541,12.0,,
7542,19.0,4.0,
7543,24.0,2.0,
7544,25.0,3.0,
7545,26.0,2.0,
7546,24.0,4.0,
7547,24.0,9.0,
7548,38.0,5.0,
7549,51.0,,
7550,45.0,,
7551,47.0,,
7552,52.0,,
7553,34.0,15.0,
7554,29.0,22.0,
7555,39.0,12.0,
7556,46.0,12.0,
7557,33.0,17.0,
7558,17.0,14.0,
7559,9.0,17.0,
7560,,22.0,
7561,,5.0,
7562,,4.0,
7563,,3.0,
7564,,,
7565,,,
7566,,,
7567,,,
7568,,3.0,
